time,heartRate,distance,height
137.046,171,436.305686442,-71.1975520428
141.323,168,460.0262946941,-71.2618995567
142.406,168,460.0262946941,-71.0221715099
143.076,169,481.6872223562,-71.1306806765
143.437,169,481.6872223562,-71.1306806765
144.856,170,481.6872223562,-70.8745467622
145.8945,173,481.6872223562,-70.8322777533
148.022,176,498.8114510759,-70.5553168763
148.717,176,498.8114510759,-70.5553168763
149.069,175,498.8114510759,-70.6341789224
150.113,172,498.8114510759,-70.5956943184
150.816,172,498.8114510759,-70.5956943184
151.8795,168,498.8114510759,-70.6745560593
153.6365,162,504.6282112258,-70.6505821531
154.322,162,504.6282112258,-70.6139902954
155.35,162,504.6282112258,-70.7799144153
156.461,159,504.6282112258,-70.7092550365
156.751,159,504.6282112258,-70.7092550365
159.186,155,515.8616986868,-70.7414303487
159.586,155,515.8616986868,-70.7414303487
160.888,155,515.8616986868,-70.5515314831
161.0185,157,515.8616986868,-70.5597331666
161.3215,157,515.8616986868,-70.5597331666
161.6445,157,515.8616986868,-70.5597331666
163.7375,157,515.8616986868,-70.71493304
164.0805,159,515.8616986868,-70.8726541237
164.441,159,515.8616986868,-70.8726541237
166.152,162,552.8614600051,-70.4770851377
166.919,162,552.8614600051,-70.4770851377
167.2655,164,552.8614600051,-70.4644670604
167.6505,164,552.8614600051,-70.4644670604
168.6985,164,554.6324430102,-70.6341789224
169.051,164,554.6324430102,-70.8644526861
169.391,164,554.6324430102,-70.8644526861
169.751,164,554.6324430102,-70.8644526861
170.511,164,554.6324430102,-70.71493304
170.8315,164,554.6324430102,-70.71493304
171.567,164,554.6324430102,-70.9111377063
171.889,164,554.6324430102,-70.9111377063
172.963,161,554.6324430102,-70.8322777533
173.336,158,559.7779923744,-70.7168257071
174.7345,160,559.7779923744,-70.5938016292
175.4395,157,559.7779923744,-70.59001625
175.791,157,559.7779923744,-70.59001625
176.1335,160,559.7779923744,-70.7471083346
176.486,160,559.7779923744,-70.7471083346
178.246,162,570.4408173303,-70.9370036411
178.5375,162,570.4408173303,-70.9370036411
178.668,162,570.4408173303,-70.9370036411
179.6545,162,570.4408173303,-70.7717129048
181.0535,165,570.4408173303,-70.6562601885
181.776,165,570.4408173303,-70.6202992455
182.83,165,570.4408173303,-70.6808649729
183.8675,165,570.4408173303,-70.9010436656
185.92,164,589.7781501708,-70.8038880243
186.2525,159,589.7781501708,-70.7818070706
186.644,159,589.7781501708,-70.7818070706
186.9655,159,589.7781501708,-70.7818070706
187.656,159,589.7781501708,-70.6688780339
188.686,159,652.9732426243,-70.6360716042
189.0085,159,652.9732426243,-70.6360716042
189.4025,162,652.9732426243,-70.2587902492
189.713,162,652.9732426243,-70.2587902492
190.414,165,652.9732426243,-70.1275587543
192.191,169,652.9732426243,-69.9117803046
194.616,169,703.4478552624,-69.8045203507
194.926,169,703.4478552624,-69.8045203507
197.753,175,703.4478552624,-69.407017966
198.4355,175,703.4478552624,-69.3685288357
198.846,175,703.4478552624,-69.3685288357
199.1865,175,703.4478552624,-69.3685288357
199.549,175,745.8480439114,-69.4978769889
200.251,175,745.8480439114,-69.4978769889
200.603,172,745.8480439114,-69.3906127803
201.2975,172,745.8480439114,-69.3906127803
201.965,172,745.8480439114,-69.2152018749
202.397,172,745.8480439114,-69.109827719
202.699,172,745.8480439114,-69.109827719
203.0115,172,745.8480439114,-69.109827719
203.354,172,745.8480439114,-69.109827719
206.146,169,808.6960615619,-68.7507904198
206.506,174,808.6960615619,-68.5160528529
206.806,174,808.6960615619,-68.5160528529
207.148,174,808.6960615619,-68.5160528529
211.6355,181,911.064294358,-67.7613231716
211.9785,181,911.064294358,-67.7613231716
212.694,181,911.064294358,-67.6881190608
214.0315,176,911.064294358,-67.6420506933
215.067,176,966.2937116546,-67.4356871536
217.141,179,966.2937116546,-67.0242100543
217.491,179,966.2937116546,-67.0242100543
217.8015,179,966.2937116546,-66.6827727192
219.921,178,983.6797407981,-66.208149952
220.952,175,983.6797407981,-66.0888597179
221.303,175,983.6797407981,-66.0888597179
221.6145,175,983.6797407981,-66.0888597179
222.287,175,983.6797407981,-65.7537036661
222.6705,175,983.6797407981,-65.6243090894
222.971,175,983.6797407981,-65.6243090894
226.4005,169,1030.166990859,-65.0751532735
226.803,170,1030.166990859,-64.8327580636
227.846,170,1030.166990859,-64.6042449225
228.126,170,1030.166990859,-64.6042449225
228.831,166,1030.166990859,-64.4142343285
229.181,166,1030.166990859,-64.4142343285
229.851,166,1078.2323529345,-64.2911359172
230.5555,166,1078.2323529345,-64.2911359172
230.866,166,1078.2323529345,-64.0771306065
231.216,166,1078.2323529345,-64.0771306065
231.5665,166,1078.2323529345,-64.0771306065
232.25,166,1078.2323529345,-63.8732217577
233.6315,168,1078.2323529345,-63.5537775925
235.3705,166,1098.4453784644,-63.264627998
235.682,166,1098.4453784644,-63.264627998
